"Country","date","total_cases_per_million","population_density","human_development_index"
"Luxembourg",2022-03-01,289536.778,231.447,0.916
"Latvia",2022-03-01,354937.025,31.212,0.866
"Morocco",2022-03-01,31092.184,80.08,0.686
"Monaco",2022-03-01,238992.915,19347.5,NA
"Republic of Moldova",2022-03-01,124846.64,123.655,0.75
"Madagascar",2022-03-01,2239.359,43.951,0.528
"Maldives",2022-03-01,313923.329,1454.433,0.74
"Mexico",2022-03-01,42389.451,66.444,0.779
"Marshall Islands",2022-03-01,117.414,295.15,0.704
"North Macedonia",2022-03-01,142960.376,82.6,0.774
"Mali",2022-03-01,1456.818,15.196,0.434
"Malta",2022-03-01,138269.715,1454.037,0.895
"Myanmar",2022-03-01,10769.566,81.721,0.583
"Montenegro",2022-03-01,366790.277,46.28,0.829
"Mongolia",2022-03-01,272778.635,1.98,0.737
"Mozambique",2022-03-01,6997.565,37.728,0.456
"Mauritania",2022-03-01,12279.927,4.289,0.546
"Montserrat",2022-03-01,32925.115,NA,NA
"Mauritius",2022-03-01,55646.648,622.962,0.804
"Malawi",2022-03-01,4343.871,197.519,0.483
"Malaysia",2022-03-01,105826.5,96.254,0.81
"Other",2022-03-01,60766.949,3.078,0.646
"Namibia",2022-03-01,60766.949,3.078,0.646
"New Caledonia",2022-03-01,190328.815,15.342,NA
"Niger",2022-03-01,348.417,16.955,0.394
"Nigeria",2022-03-01,1204.206,209.588,0.539
"Nicaragua",2022-03-01,2701.28,51.667,0.66
"Niue",2021-11-24,NA,NA,NA
"Netherlands",2022-03-01,378021.864,508.544,0.944
"Norway",2022-03-01,229997.133,14.462,0.957
"Nepal",2022-03-01,32925.986,204.43,0.602
"Nauru",2022-01-18,NA,682.45,NA
"New Zealand",2022-03-01,27879.367,18.206,0.931
"Oman",2022-03-01,73179.492,14.98,0.813
"Pakistan",2022-03-01,6709.531,255.573,0.557
"Panama",2022-03-01,172506.831,55.133,0.815
"Pitcairn Islands",2021-09-07,NA,NA,NA
"Peru",2022-03-01,105435.302,25.129,0.777
"Philippines",2022-03-01,32986.591,351.873,0.718
"Palau",2022-03-01,208044.459,47.237,0.826
"Papua New Guinea",2022-03-01,4527.906,18.22,0.555
"Poland",2022-03-01,150277.377,124.027,0.88
"Portugal",2022-03-01,321956.018,112.371,0.864
"Paraguay",2022-03-01,88949.575,17.144,0.728
"occupied Palestinian territory, including east Jerusalem",2022-03-01,123919.823,778.202,0.708
"French Polynesia",2022-03-01,239443.748,77.324,NA
"Qatar",2022-03-01,121920.858,227.322,0.848
"Romania",2022-03-01,143348.896,85.129,0.828
"Russian Federation",2022-03-01,111421.169,8.823,0.824
"Rwanda",2022-03-01,9755.269,494.869,0.543
"Saudi Arabia",2022-03-01,21097.217,15.322,0.854
"Sudan",2022-03-01,1369.158,23.258,0.51
"Senegal",2022-03-01,4983.57,82.328,0.512
"Singapore",2022-03-01,137249.523,7915.731,0.938
"Saint Helena",2022-03-01,656.276,NA,NA
"Solomon Islands",2022-03-01,10309.732,21.841,0.567
"Sierra Leone",2022-03-01,941.491,104.7,0.452
"El Salvador",2022-03-01,23987.727,307.811,0.673
"San Marino",2022-03-01,423816.525,556.667,NA
"Somalia",2022-03-01,1610.746,23.5,NA
"Saint Pierre and Miquelon",2022-03-01,188355.571,NA,NA
"Serbia",2022-03-01,278519.67,80.291,0.806
"South Sudan",2022-03-01,1491.735,NA,0.433
"Sao Tome and Principe",2022-03-01,26566.501,212.841,0.625
"Suriname",2022-03-01,132298.521,3.612,0.738
"Slovakia",2022-03-01,391757.979,113.128,0.86
"Slovenia",2022-03-01,430636.501,102.619,0.917
"Sweden",2022-03-01,240959.024,24.718,0.945
"Eswatini",2022-03-01,59018.108,79.492,0.611
"Sint Maarten",2022-02-25,NA,1209.088,NA
"Seychelles",2022-03-01,398372.258,208.354,0.796
"Syrian Arab Republic",2022-03-01,2991.075,NA,0.567
"Turks and Caicos Islands",2022-03-01,149569.163,37.312,NA
"Chad",2022-03-01,429.028,11.833,0.398
"Togo",2022-03-01,4341.23,143.366,0.515
"Thailand",2022-03-01,41951.517,135.132,0.777
"Tajikistan",2022-03-01,1824.275,64.281,0.668
"Tokelau",2021-10-12,NA,NA,NA
"Turkmenistan",2021-08-29,NA,12.253,0.715
"Timor-Leste",2022-03-01,16886.243,87.176,0.606
"Tonga",2022-03-01,3325.247,150.028,0.725
"Trinidad and Tobago",2022-03-01,91312.081,266.886,0.796
"Tunisia",2022-03-01,83633.524,74.228,0.74
"Turkey",2022-03-01,166379.184,104.914,0.82
"Tuvalu",2021-10-22,NA,373.067,NA
"United Republic of Tanzania",2022-03-01,546.681,64.699,0.529
"Uganda",2022-03-01,3466.251,213.759,0.544
"Ukraine",2022-03-01,115962.423,77.39,0.779
"Uruguay",2022-03-01,242284.985,19.751,0.817
"United States of America",2022-03-01,237572.183,35.608,0.926
