Country,date,total_cases_per_million,population_density,human_development_index
Micronesia (Federated States of),3/1/22,8.602,150.777,0.62
Monaco,3/1/22,238992.915,19347.5,0.956
Mongolia,3/1/22,272778.635,1.98,0.737
Montenegro,3/1/22,366790.277,46.28,0.829
Montserrat,3/1/22,32925.115,49.81,0.821
Morocco,3/1/22,31092.184,80.08,0.686
Mozambique,3/1/22,6997.565,37.728,0.456
Myanmar,3/1/22,10769.566,81.721,0.583
Namibia,3/1/22,60766.949,3.078,0.646
Nauru,1/18/22,NA,682.45,0.721
Nepal,3/1/22,32925.986,204.43,0.602
Netherlands,3/1/22,378021.864,508.544,0.944
New Caledonia,3/1/22,190328.815,15.342,NA
New Zealand,3/1/22,27879.367,18.206,0.931
Nicaragua,3/1/22,2701.28,51.667,0.66
Niger,3/1/22,348.417,16.955,0.394
Nigeria,3/1/22,1204.206,209.588,0.539
Niue,11/24/21,NA,6.208,0.794
North Macedonia,3/1/22,142960.376,82.6,0.774
Norway,3/1/22,229997.133,14.462,0.957
"occupied Palestinian territory, including east Jerusalem",3/1/22,123919.823,778.202,0.708
Oman,3/1/22,73179.492,14.98,0.813
Other,3/1/22,60766.949,3.078,0.646
Pakistan,3/1/22,6709.531,255.573,0.557
Palau,3/1/22,208044.459,47.237,0.826
Panama,3/1/22,172506.831,55.133,0.815
Papua New Guinea,3/1/22,4527.906,18.22,0.555
Paraguay,3/1/22,88949.575,17.144,0.728
Peru,3/1/22,105435.302,25.129,0.777
Philippines,3/1/22,32986.591,351.873,0.718
Pitcairn Islands,9/7/21,NA,NA,NA
Poland,3/1/22,150277.377,124.027,0.88
Portugal,3/1/22,321956.018,112.371,0.864
Qatar,3/1/22,121920.858,227.322,0.848
Republic of Korea,3/1/22,68076.668,527.967,0.916
Republic of Moldova,3/1/22,124846.64,123.655,0.75
Romania,3/1/22,143348.896,85.129,0.828
Russian Federation,3/1/22,111421.169,8.823,0.824
Rwanda,3/1/22,9755.269,494.869,0.543
Saint Helena,3/1/22,656.276,15.63,0.797
Saint Kitts and Nevis,3/1/22,103275.688,212.865,0.779
Saint Lucia,3/1/22,123166.36,293.187,0.759
Saint Pierre and Miquelon,3/1/22,188355.571,25.09,0.788
Saint Vincent and the Grenadines,3/1/22,74692.861,281.787,0.738
Samoa,3/1/22,164.881,69.413,0.715
San Marino,3/1/22,423816.525,556.667,0.961
Sao Tome and Principe,3/1/22,26566.501,212.841,0.625
Saudi Arabia,3/1/22,21097.217,15.322,0.854
Senegal,3/1/22,4983.57,82.328,0.512
Serbia,3/1/22,278519.67,80.291,0.806
Seychelles,3/1/22,398372.258,208.354,0.796
Sierra Leone,3/1/22,941.491,104.7,0.452
Singapore,3/1/22,137249.523,7915.731,0.938
Sint Maarten,2/25/22,NA,1209.088,0.702
Slovakia,3/1/22,391757.979,113.128,0.86
Slovenia,3/1/22,430636.501,102.619,0.917
Solomon Islands,3/1/22,10309.732,21.841,0.567
Somalia,3/1/22,1610.746,23.5,0.364
South Africa,3/1/22,61218.668,46.754,0.709
South Sudan,3/1/22,1491.735,18.63,0.433
Spain,3/1/22,236090.174,93.105,0.904
Sri Lanka,3/1/22,30094.376,341.955,0.782
Sudan,3/1/22,1369.158,23.258,0.51
Suriname,3/1/22,132298.521,3.612,0.738
Sweden,3/1/22,240959.024,24.718,0.945
Switzerland,3/1/22,323414.829,214.243,0.955
Syrian Arab Republic,3/1/22,2991.075,99.52,0.567
Tajikistan,3/1/22,1824.275,64.281,0.668
Thailand,3/1/22,41951.517,135.132,0.777
The United Kingdom,3/1/22,279099.479,272.898,0.932
Timor-Leste,3/1/22,16886.243,87.176,0.606
Togo,3/1/22,4341.23,143.366,0.515
Tokelau,10/12/21,NA,136.8,0.75
Tonga,3/1/22,3325.247,150.028,0.725
Trinidad and Tobago,3/1/22,91312.081,266.886,0.796
Tunisia,3/1/22,83633.524,74.228,0.74
Turkey,3/1/22,166379.184,104.914,0.82
Turkmenistan,8/29/21,NA,12.253,0.715
Turks and Caicos Islands,3/1/22,149569.163,37.312,0.873
Tuvalu,10/22/21,NA,373.067,0.711
Uganda,3/1/22,3466.251,213.759,0.544
Ukraine,3/1/22,115962.423,77.39,0.779
United Arab Emirates,3/1/22,88123.68,112.442,0.89
United Republic of Tanzania,3/1/22,546.681,64.699,0.529
United States of America,3/1/22,237572.183,35.608,0.926
Uruguay,3/1/22,242284.985,19.751,0.817
Uzbekistan,3/1/22,6969.078,76.134,0.72
Vanuatu,3/1/22,60.42,22.662,0.609
Venezuela (Bolivarian Republic of),3/1/22,17945.478,36.253,0.711
Viet Nam,3/1/22,36239.905,308.127,0.704
Wallis and Futuna,3/1/22,40923.021,79.24,0.763
Yemen,3/1/22,386.053,53.508,0.47
Zambia,3/1/22,16541.18,22.995,0.584
Zimbabwe,3/1/22,15694.959,42.729,0.571
